id,name,duration,genre,titleYear,releaseDate,director,language,budget,cast,link
1684,Maa Daivam,0,Musical,1976,,,Telugu,0,"Jayachitra,Taraka Rama Rao Nandamuri,Pandharibai",http://www.imdb.com/title/tt0371803/?ref_=adv_li_tt
1685,Maa Gopi,0,,1954,,Ranga B.S.,Telugu,0,"Jamuna,Chittor V. Nagaiah,Varalakshmi G.,Relangi Venkatramaiah",http://www.imdb.com/title/tt0261029/?ref_=adv_li_tt
1686,Maa Iddari Madhya,0,Romance,2006,2006-09-08,Maddineni Ramesh Babu,Telugu,0,"Banerji,Krishna Bhagavan,Bharat,Brahmanandam,Sriram L.B.,M.S. Narayana,Rajyalakshmi,Telangana Sakuntala,Sudha,Vidisha",http://www.imdb.com/title/tt1311074/?ref_=adv_li_tt
1687,Maa Inti Adapaduchu,0,Family,1996,1996,Om Sai Prakash,Telugu,20000000,"Brahmanandam,Seshi Kumar,Soundarya",http://www.imdb.com/title/tt1579620/?ref_=adv_li_tt
1688,Maa Inti Jyothi,0,,1972,,A. Bhimsingh,Telugu,0,Shivaji Ganesan,http://www.imdb.com/title/tt0156753/?ref_=adv_li_tt
1689,Maa Inti Katha,120,Family,1990,1990-02-09,Muthyala Subbaiah,Telugu,0,"Mohan Babu,Brahmanandam,Vani Viswanathan",http://www.imdb.com/title/tt1228988/?ref_=adv_li_tt
1690,Maa Inti Mahalakshmi,0,,1959,,Ramineedu Gutha,Telugu,0,"Jamuna,Haranath,Gummadi,Ramana Reddy,P. Laxmikantamma",http://www.imdb.com/title/tt0314340/?ref_=adv_li_tt
1691,Maa Inti Premayanam,0,,1983,1983-08-11,Ravi Alluri,Telugu,0,Chiranjeevi,http://www.imdb.com/title/tt0246049/?ref_=adv_li_tt
1692,Maa Inti Velugu,0,,1972,,Vijay,Telugu,0,Anjali Devi,http://www.imdb.com/title/tt0390196/?ref_=adv_li_tt
1693,Maa Nanna Chiranjeevi,0,Family,2010,2010-01-01,Arun Prasad,Telugu,0,"Jagapathi Babu,Ali,Alutit,Brahmanandam,Jhansi,M.S. Narayana,Neelima,Satyam Rajesh,Jayaprakash Reddy,Telangana Sakuntala",http://www.imdb.com/title/tt1582539/?ref_=adv_li_tt
1694,Maa Nannaki Pelli,0,,1997,,Satyanarayana E.V.V.,Telugu,0,"Krishnamraju,Srikanth,Simran,Srinivasa Rao Kota,Ambika,Chalapathi Rao,M.S. Narayana,Mallikharjunarao",http://www.imdb.com/title/tt0290237/?ref_=adv_li_tt
